Customer_ID,Credit_Score,Risk_Category
217,716,Medium
218,456,High
219,506,High
220,546,High
221,597,High
222,735,Medium
223,703,Medium
224,644,High
225,542,High
226,784,Low
227,594,High
228,475,High
229,847,Low
230,467,High
231,817,Low
232,586,High
233,520,High
234,653,Medium
235,597,High
236,756,Low
237,625,High
238,713,Medium
239,694,Medium
240,685,Medium
241,465,High
242,841,Low
243,694,Medium
244,543,High
245,680,Medium
246,480,High
247,695,Medium
248,800,Low
249,774,Low
250,754,Low
251,520,High
252,480,High
253,558,High
254,465,High
255,836,Low
256,469,High
257,639,High
258,497,High
259,546,High
260,469,High
261,816,Low
262,840,Low
263,619,High
264,537,High
265,521,High
266,827,Low
267,710,Medium
268,765,Low
269,487,High
270,573,High
271,759,Low
272,644,High
273,485,High
274,538,High
275,636,High
276,507,High
277,693,Medium
278,610,High
279,514,High
280,556,High
281,705,Medium
282,724,Medium
283,709,Medium
284,589,High
285,490,High
286,703,Medium
287,781,Low
288,532,High
289,619,High
290,710,Medium
291,784,Low
292,707,Medium
293,604,High
294,714,Medium
295,820,Low
296,759,Low
297,636,High
298,475,High
299,612,High
300,564,High
301,589,High
302,507,High
303,623,High
304,471,High
305,594,High
306,803,Low
307,567,High
308,533,High
309,825,Low
310,612,High
311,470,High
312,596,High
313,592,High
314,656,Medium
315,551,High
316,747,Medium
317,621,High
318,506,High
319,561,High
320,657,Medium
321,599,High
322,728,Medium
323,751,Low
324,809,Low
325,652,Medium
326,629,High
327,537,High
328,467,High
329,712,Medium
330,616,High
331,559,High
332,753,Low
333,776,Low
334,666,Medium
335,631,High
336,508,High
337,550,High
338,475,High
339,509,High
340,637,High
341,601,High
342,573,High
343,775,Low
344,757,Low
345,551,High
346,544,High
347,759,Low
348,792,Low
349,608,High
350,517,High
351,473,High
352,581,High
353,629,High
354,600,High
355,530,High
356,504,High
357,523,High
358,651,Medium
359,504,High
360,499,High
361,683,Medium
362,774,Low
363,679,Medium
364,509,High
365,777,Low
366,582,High
367,500,High
368,721,Medium
369,669,Medium
370,501,High
371,615,High
372,746,Medium
373,639,High
374,727,Medium
375,502,High
376,715,Medium
377,758,Low
378,697,Medium
379,546,High
380,661,Medium
381,452,High
382,749,Medium
383,758,Low
384,778,Low
385,643,High
386,848,Low
387,639,High
388,807,Low
389,752,Low
390,639,High
391,675,Medium
392,509,High
393,450,High
394,562,High
395,838,Low
396,766,Low
397,628,High
398,527,High
399,804,Low
400,532,High
401,543,High
402,735,Medium
403,760,Low
404,623,High
405,646,High
406,512,High
407,806,Low
408,755,Low
409,476,High
410,619,High
411,730,Medium
412,593,High
413,538,High
414,478,High
415,734,Medium
416,699,Medium
417,838,Low
418,729,Medium
419,850,Low
420,818,Low
421,473,High
422,511,High
423,590,High
424,758,Low
425,704,Medium
426,739,Medium
427,805,Low
428,806,Low
429,544,High
430,529,High
431,631,High
432,522,High
433,491,High
434,809,Low
435,684,Medium
436,756,Low
437,753,Low
438,683,Medium
439,802,Low
440,579,High
441,712,Medium
442,571,High
443,827,Low
444,798,Low
445,536,High
446,513,High
447,752,Low
448,640,High
449,651,Medium
450,666,Medium
451,823,Low
452,765,Low
453,638,High
454,461,High
455,698,Medium
456,542,High
457,541,High
458,465,High
459,765,Low
460,470,High
461,520,High
462,840,Low
463,800,Low
464,843,Low
465,789,Low
466,472,High
467,776,Low
468,686,Medium
469,589,High
470,614,High
471,847,Low
472,564,High
473,479,High
474,547,High
475,478,High
476,720,Medium
477,476,High
478,796,Low
479,655,Medium
480,668,Medium
481,594,High
482,831,Low
483,660,Medium
484,503,High
485,695,Medium
486,623,High
487,670,Medium
488,494,High
489,519,High
490,569,High
491,784,Low
492,459,High
493,782,Low
494,648,High
495,651,Medium
496,575,High
497,662,Medium
498,571,High
499,792,Low
500,815,Low
501,656,Medium
502,541,High
503,633,High
504,499,High
505,501,High
506,537,High
507,638,High
508,543,High
509,575,High
510,686,Medium
511,800,Low
512,466,High
513,612,High
514,820,Low
515,490,High
516,810,Low
517,528,High
518,634,High
519,628,High
520,468,High
521,485,High
522,653,Medium
523,729,Medium
524,741,Medium
525,615,High
526,652,Medium
527,625,High
528,750,Low
529,841,Low
530,721,Medium
531,568,High
532,832,Low
533,767,Low
534,623,High
535,764,Low
536,815,Low
537,816,Low
538,517,High
539,825,Low
540,782,Low
541,770,Low
542,810,Low
543,748,Medium
544,708,Medium
545,553,High
546,478,High
547,790,Low
548,767,Low
549,635,High
550,506,High
551,452,High
552,505,High
553,538,High
554,596,High
555,539,High
556,730,Medium
557,825,Low
558,527,High
559,539,High
560,564,High
561,783,Low
562,542,High
563,498,High
564,703,Medium
565,754,Low
566,617,High
567,585,High
568,848,Low
569,545,High
570,480,High
571,494,High
572,578,High
573,523,High
574,567,High
575,608,High
576,725,Medium
577,620,High
578,782,Low
579,751,Low
580,699,Medium
581,802,Low
582,488,High
583,719,Medium
584,622,High
585,792,Low
586,624,High
587,755,Low
588,824,Low
589,842,Low
590,624,High
591,778,Low
592,518,High
593,764,Low
594,763,Low
595,728,Medium
596,621,High
597,797,Low
598,567,High
599,588,High
600,824,Low
601,689,Medium
602,640,High
603,652,Medium
604,495,High
605,589,High
606,562,High
607,471,High
608,601,High
609,560,High
610,748,Medium
611,795,Low
612,755,Low
613,461,High
614,531,High
615,808,Low
616,609,High
617,675,Medium
618,668,Medium
619,836,Low
620,642,High
621,578,High
622,728,Medium
623,744,Medium
624,571,High
625,527,High
626,665,Medium
627,630,High
628,535,High
629,770,Low
630,497,High
631,585,High
632,673,Medium
633,518,High
634,487,High
635,763,Low
636,703,Medium
637,680,Medium
638,620,High
639,847,Low
640,656,Medium
641,503,High
642,805,Low
643,832,Low
644,683,Medium
645,553,High
646,666,Medium
647,480,High
648,683,Medium
649,481,High
650,794,Low
651,768,Low
652,780,Low
653,617,High
654,813,Low
655,470,High
656,692,Medium
657,504,High
658,846,Low
659,466,High
660,707,Medium
661,807,Low
662,738,Medium
663,680,Medium
664,528,High
665,824,Low
666,513,High
667,650,Medium
668,572,High
669,620,High
670,790,Low
671,624,High
672,801,Low
673,503,High
674,626,High
675,535,High
676,656,Medium
677,492,High
678,485,High
679,684,Medium
680,538,High
681,453,High
682,597,High
683,842,Low
684,518,High
685,585,High
686,532,High
687,835,Low
688,566,High
689,561,High
690,808,Low
691,734,Medium
692,517,High
693,495,High
694,595,High
695,472,High
696,828,Low
697,824,Low
698,488,High
699,674,Medium
700,653,Medium
701,739,Medium
702,810,Low
703,551,High
704,687,Medium
705,500,High
706,533,High
707,806,Low
708,794,Low
709,592,High
710,527,High
711,535,High
712,804,Low
713,507,High
714,533,High
715,681,Medium
716,482,High
717,559,High
718,478,High
719,775,Low
720,746,Medium
721,599,High
722,626,High
723,608,High
724,455,High
725,703,Medium
726,537,High
727,715,Medium
728,586,High
729,698,Medium
730,803,Low
731,635,High
732,507,High
733,748,Medium
734,763,Low
735,512,High
736,544,High
737,631,High
738,841,Low
739,655,Medium
740,694,Medium
741,537,High
742,560,High
743,739,Medium
744,748,Medium
745,468,High
746,671,Medium
747,793,Low
748,557,High
749,775,Low
750,790,Low
751,661,Medium
752,659,Medium
753,499,High
754,634,High
755,735,Medium
756,725,Medium
757,685,Medium
758,781,Low
759,461,High
760,499,High
761,786,Low
762,535,High
763,737,Medium
764,778,Low
765,665,Medium
766,597,High
767,712,Medium
768,577,High
769,474,High
770,630,High
771,796,Low
772,623,High
773,741,Medium
774,534,High
775,824,Low
776,474,High
777,458,High
778,729,Medium
779,472,High
780,581,High
781,467,High
782,597,High
783,773,Low
784,683,Medium
785,545,High
786,786,Low
787,695,Medium
788,631,High
789,520,High
790,776,Low
791,674,Medium
792,564,High
793,842,Low
794,549,High
795,841,Low
796,457,High
797,849,Low
798,801,Low
799,589,High
800,498,High
801,752,Low
802,823,Low
803,757,Low
804,807,Low
805,686,Medium
806,540,High
807,840,Low
808,479,High
809,464,High
810,640,High
811,628,High
812,711,Medium
813,679,Medium
814,660,Medium
815,568,High
816,454,High
817,460,High
818,753,Low
819,751,Low
820,818,Low
821,836,Low
822,842,Low
823,607,High
824,529,High
825,741,Medium
826,784,Low
827,535,High
828,513,High
829,765,Low
830,614,High
831,559,High
832,474,High
833,604,High
834,777,Low
835,496,High
836,796,Low
837,630,High
838,575,High
839,605,High
840,589,High
841,522,High
842,654,Medium
843,839,Low
844,714,Medium
845,733,Medium
846,712,Medium
847,616,High
848,602,High
849,486,High
850,789,Low
851,817,Low
852,525,High
853,504,High
854,771,Low
855,763,Low
856,686,Medium
857,756,Low
858,674,Medium
859,452,High
860,522,High
861,476,High
862,649,High
863,843,Low
864,564,High
865,591,High
866,620,High
867,585,High
868,505,High
869,745,Medium
870,806,Low
871,625,High
872,782,Low
873,543,High
874,479,High
875,782,Low
876,585,High
877,663,Medium
878,652,Medium
879,525,High
880,616,High
881,637,High
882,605,High
883,780,Low
884,460,High
885,698,Medium
886,506,High
887,747,Medium
888,548,High
889,786,Low
890,802,Low
891,705,Medium
892,714,Medium
893,534,High
894,583,High
895,644,High
896,773,Low
897,737,Medium
898,785,Low
899,677,Medium
900,560,High
901,627,High
902,694,Medium
903,848,Low
904,473,High
905,538,High
906,623,High
907,762,Low
908,831,Low
909,672,Medium
910,820,Low
911,636,High
912,705,Medium
913,800,Low
914,665,Medium
915,741,Medium
916,847,Low
917,578,High
918,452,High
919,727,Medium
920,519,High
921,777,Low
922,603,High
923,533,High
924,753,Low
925,807,Low
926,820,Low
927,456,High
928,716,Medium
929,577,High
930,537,High
931,795,Low
932,696,Medium
933,794,Low
934,591,High
935,837,Low
936,481,High
937,794,Low
938,550,High
939,493,High
940,619,High
941,547,High
942,455,High
943,561,High
944,615,High
945,523,High
946,549,High
947,680,Medium
948,664,Medium
949,674,Medium
950,749,Medium
951,654,Medium
952,529,High
953,483,High
954,507,High
955,839,Low
956,529,High
957,700,Medium
958,584,High
959,742,Medium
960,605,High
961,583,High
962,664,Medium
963,749,Medium
964,581,High
965,494,High
966,635,High
967,818,Low
968,674,Medium
969,533,High
970,532,High
971,523,High
972,478,High
973,490,High
974,668,Medium
975,576,High
976,492,High
977,700,Medium
978,496,High
979,666,Medium
980,531,High
981,615,High
982,473,High
983,644,High
984,453,High
985,725,Medium
986,669,Medium
987,485,High
988,506,High
989,829,Low
990,562,High
991,769,Low
992,747,Medium
993,708,Medium
994,735,Medium
995,594,High
996,622,High
997,664,Medium
998,811,Low
999,750,Low
1000,552,High
1001,749,Medium
1002,512,High
1003,848,Low
1004,778,Low
1005,649,High
1006,672,Medium
1007,505,High
1008,635,High
1009,597,High
1010,831,Low
1011,714,Medium
1012,673,Medium
1013,466,High
1014,579,High
1015,684,Medium
1016,471,High
1017,700,Medium
1018,678,Medium
1019,516,High
1020,502,High
1021,685,Medium
1022,616,High
1023,790,Low
1024,607,High
1025,454,High
1026,745,Medium
1027,454,High
1028,472,High
1029,807,Low
1030,550,High
1031,761,Low
1032,684,Medium
1033,516,High
1034,596,High
1035,492,High
1036,690,Medium
1037,563,High
1038,536,High
1039,493,High
1040,597,High
1041,811,Low
1042,646,High
1043,519,High
1044,822,Low
1045,454,High
1046,815,Low
1047,487,High
1048,561,High
1049,626,High
1050,479,High
1051,621,High
1052,474,High
1053,729,Medium
1054,706,Medium
1055,608,High
1056,570,High
1057,771,Low
1058,456,High
1059,509,High
1060,632,High
1061,524,High
1062,800,Low
1063,555,High
1064,469,High
1065,766,Low
1066,783,Low
1067,492,High
1068,563,High
1069,524,High
1070,509,High
1071,563,High
1072,771,Low
1073,737,Medium
1074,530,High
1075,630,High
1076,557,High
1077,845,Low
1078,580,High
1079,561,High
1080,699,Medium
1081,808,Low
1082,704,Medium
1083,596,High
1084,568,High
1085,801,Low
1086,713,Medium
1087,613,High
1088,695,Medium
1089,631,High
1090,737,Medium
1091,768,Low
1092,821,Low
1093,706,Medium
1094,605,High
1095,831,Low
1096,821,Low
1097,501,High
1098,555,High
1099,762,Low
1100,497,High
1101,676,Medium
1102,693,Medium
1103,775,Low
1104,532,High
1105,744,Medium
1106,835,Low
1107,795,Low
1108,529,High
1109,612,High
1110,626,High
1111,622,High
1112,635,High
1113,458,High
1114,553,High
1115,722,Medium
1116,700,Medium
1117,653,Medium
1118,552,High
1119,608,High
1120,451,High
1121,632,High
1122,506,High
1123,726,Medium
1124,799,Low
1125,652,Medium
1126,833,Low
1127,477,High
1128,789,Low
1129,559,High
1130,771,Low
1131,649,High
1132,670,Medium
1133,805,Low
1134,578,High
1135,837,Low
1136,619,High
1137,546,High
1138,814,Low
1139,649,High
1140,510,High
1141,571,High
1142,785,Low
1143,688,Medium
1144,651,Medium
1145,756,Low
1146,457,High
1147,723,Medium
1148,450,High
1149,674,Medium
1150,699,Medium
1151,710,Medium
1152,615,High
1153,843,Low
1154,556,High
1155,465,High
1156,541,High
1157,612,High
1158,849,Low
1159,673,Medium
1160,733,Medium
1161,478,High
1162,567,High
1163,738,Medium
1164,798,Low
1165,810,Low
1166,827,Low
1167,804,Low
1168,719,Medium
1169,785,Low
1170,599,High
1171,458,High
1172,494,High
1173,725,Medium
1174,544,High
1175,526,High
1176,846,Low
1177,744,Medium
1178,501,High
1179,544,High
1180,454,High
1181,676,Medium
1182,501,High
1183,668,Medium
1184,778,Low
1185,799,Low
1186,534,High
1187,652,Medium
1188,660,Medium
1189,539,High
1190,685,Medium
1191,639,High
1192,462,High
1193,769,Low
1194,531,High
1195,609,High
1196,684,Medium
1197,572,High
1198,822,Low
1199,633,High
1200,765,Low
1201,481,High
1202,778,Low
1203,766,Low
1204,636,High
1205,613,High
1206,724,Medium
1207,836,Low
1208,808,Low
1209,505,High
1210,642,High
1211,569,High
1212,579,High
1213,841,Low
1214,496,High
1215,779,Low
1216,525,High
1217,818,Low
1218,570,High
1219,817,Low
1220,607,High
1221,750,Low
1222,497,High
1223,538,High
1224,726,Medium
1225,830,Low
1226,635,High
1227,693,Medium
1228,656,Medium
1229,514,High
1230,735,Medium
1231,589,High
1232,579,High
1233,823,Low
1234,701,Medium
1235,741,Medium
1236,527,High
1237,574,High
1238,806,Low
1239,821,Low
1240,785,Low
1241,535,High
1242,800,Low
1243,625,High
1244,663,Medium
1245,699,Medium
1246,818,Low
1247,703,Medium
1248,626,High
1249,535,High
1250,681,Medium
1251,782,Low
1252,669,Medium
1253,587,High
1254,513,High
1255,623,High
1256,645,High
1257,566,High
1258,714,Medium
1259,829,Low
1260,791,Low
1261,465,High
1262,511,High
1263,535,High
1264,662,Medium
1265,491,High
1266,541,High
1267,502,High
1268,776,Low
1269,673,Medium
1270,506,High
1271,830,Low
1272,803,Low
1273,694,Medium
1274,683,Medium
1275,621,High
1276,702,Medium
1277,619,High
1278,516,High
1279,598,High
1280,612,High
1281,831,Low
1282,479,High
1283,685,Medium
1284,704,Medium
1285,627,High
1286,798,Low
1287,813,Low
1288,518,High
1289,570,High
1290,782,Low
1291,575,High
1292,839,Low
1293,596,High
1294,845,Low
1295,513,High
1296,460,High
1297,817,Low
1298,710,Medium
1299,571,High
1300,774,Low
1301,466,High
1302,685,Medium
1303,792,Low
1304,655,Medium
1305,807,Low
1306,698,Medium
1307,643,High
1308,617,High
1309,727,Medium
1310,590,High
1311,794,Low
1312,749,Medium
1313,545,High
1314,838,Low
1315,781,Low
1316,617,High
1317,531,High
1318,660,Medium
1319,718,Medium
1320,779,Low
1321,516,High
1322,478,High
1323,705,Medium
1324,841,Low
1325,590,High
1326,752,Low
1327,834,Low
1328,783,Low
1329,756,Low
1330,606,High
1331,578,High
1332,791,Low
1333,595,High
1334,723,Medium
1335,638,High
1336,735,Medium
1337,723,Medium
1338,610,High
1339,734,Medium
1340,616,High
1341,804,Low
1342,635,High
1343,469,High
1344,556,High
1345,729,Medium
1346,468,High
1347,475,High
1348,511,High
1349,535,High
1350,572,High
1351,700,Medium
1352,840,Low
1353,595,High
1354,600,High
1355,607,High
1356,772,Low
1357,734,Medium
1358,762,Low
1359,453,High
1360,600,High
1361,803,Low
1362,560,High
1363,850,Low
1364,466,High
1365,609,High
1366,821,Low
1367,830,Low
1368,624,High
1369,456,High
1370,751,Low
1371,589,High
1372,515,High
1373,666,Medium
1374,833,Low
1375,846,Low
1376,718,Medium
1377,663,Medium
1378,458,High
1379,519,High
1380,821,Low
1381,664,Medium
1382,716,Medium
1383,523,High
1384,525,High
1385,486,High
1386,768,Low
1387,604,High
1388,737,Medium
1389,740,Medium
1390,664,Medium
1391,662,Medium
1392,558,High
1393,744,Medium
1394,538,High
1395,609,High
1396,483,High
1397,731,Medium
1398,719,Medium
1399,512,High
1400,691,Medium
1401,493,High
1402,805,Low
1403,694,Medium
1404,519,High
1405,552,High
1406,747,Medium
1407,658,Medium
1408,793,Low
1409,843,Low
1410,772,Low
1411,771,Low
1412,475,High
1413,608,High
1414,643,High
1415,611,High
1416,561,High
1417,833,Low
1418,567,High
1419,493,High
1420,776,Low
1421,539,High
1422,563,High
1423,651,Medium
1424,474,High
1425,468,High
1426,688,Medium
1427,683,Medium
1428,517,High
1429,503,High
1430,652,Medium
1431,622,High
1432,761,Low
1433,476,High
1434,718,Medium
1435,486,High
1436,789,Low
1437,500,High
1438,803,Low
1439,762,Low
1440,782,Low
1441,534,High
1442,701,Medium
1443,737,Medium
1444,662,Medium
1445,708,Medium
1446,688,Medium
1447,748,Medium
1448,626,High
1449,478,High
1450,718,Medium
1451,744,Medium
1452,656,Medium
1453,708,Medium
1454,642,High
1455,592,High
1456,650,Medium
1457,675,Medium
1458,820,Low
1459,834,Low
1460,544,High
1461,758,Low
1462,546,High
1463,490,High
1464,772,Low
1465,566,High
1466,633,High
1467,679,Medium
1468,663,Medium
1469,653,Medium
1470,576,High
1471,696,Medium
1472,839,Low
1473,684,Medium
1474,516,High
1475,511,High
1476,645,High
1477,531,High
1478,841,Low
1479,581,High
1480,795,Low
1481,686,Medium
1482,478,High
1483,749,Medium
1484,587,High
1485,663,Medium
1486,773,Low
1487,758,Low
1488,754,Low
1489,682,Medium
1490,475,High
1491,474,High
1492,460,High
1493,504,High
1494,738,Medium
1495,580,High
1496,539,High
1497,668,Medium
1498,844,Low
1499,672,Medium
1500,568,High
1501,450,High
1502,753,Low
1503,785,Low
1504,626,High
1505,749,Medium
1506,816,Low
1507,513,High
1508,595,High
1509,738,Medium
1510,805,Low
1511,725,Medium
1512,685,Medium
1513,816,Low
1514,750,Low
1515,487,High
1516,617,High
1517,760,Low
1518,830,Low
1519,842,Low
1520,777,Low
1521,822,Low
1522,617,High
1523,752,Low
1524,592,High
1525,825,Low
1526,816,Low
1527,766,Low
1528,691,Medium
1529,750,Low
1530,665,Medium
1531,710,Medium
1532,473,High
1533,572,High
1534,459,High
1535,821,Low
1536,617,High
1537,483,High
1538,776,Low
1539,596,High
1540,474,High
1541,555,High
1542,546,High
1543,714,Medium
1544,662,Medium
1545,842,Low
1546,549,High
1547,702,Medium
1548,712,Medium
1549,554,High
1550,835,Low
1551,804,Low
1552,463,High
1553,578,High
1554,755,Low
1555,522,High
1556,835,Low
1557,836,Low
1558,526,High
1559,681,Medium
1560,635,High
1561,687,Medium
1562,521,High
1563,453,High
1564,564,High
1565,691,Medium
1566,489,High
1567,565,High
1568,462,High
1569,840,Low
1570,731,Medium
1571,705,Medium
1572,601,High
1573,783,Low
1574,638,High
1575,499,High
1576,798,Low
1577,503,High
1578,559,High
1579,531,High
1580,599,High
1581,631,High
1582,586,High
1583,676,Medium
1584,714,Medium
1585,786,Low
1586,590,High
1587,487,High
1588,840,Low
1589,638,High
1590,492,High
1591,530,High
1592,675,Medium
1593,467,High
1594,746,Medium
1595,507,High
1596,790,Low
1597,525,High
1598,671,Medium
1599,606,High
1600,482,High
1601,452,High
1602,832,Low
1603,640,High
1604,675,Medium
1605,834,Low
1606,765,Low
1607,600,High
1608,461,High
1609,803,Low
1610,588,High
1611,515,High
1612,704,Medium
1613,611,High
1614,469,High
1615,815,Low
1616,668,Medium
1617,522,High
1618,749,Medium
1619,499,High
1620,656,Medium
1621,701,Medium
1622,780,Low
1623,696,Medium
1624,691,Medium
1625,638,High
1626,611,High
1627,501,High
1628,584,High
1629,812,Low
1630,727,Medium
1631,836,Low
1632,709,Medium
1633,741,Medium
1634,817,Low
1635,567,High
1636,792,Low
1637,687,Medium
1638,551,High
1639,709,Medium
1640,470,High
1641,566,High
1642,765,Low
1643,522,High
1644,718,Medium
1645,506,High
1646,499,High
1647,700,Medium
1648,535,High
1649,762,Low
1650,725,Medium
1651,791,Low
1652,715,Medium
1653,678,Medium
1654,506,High
1655,728,Medium
1656,778,Low
1657,609,High
1658,847,Low
1659,752,Low
1660,586,High
1661,451,High
1662,487,High
1663,455,High
1664,497,High
1665,766,Low
1666,595,High
1667,711,Medium
1668,798,Low
1669,523,High
1670,670,Medium
1671,494,High
1672,547,High
1673,578,High
1674,614,High
1675,512,High
1676,802,Low
1677,508,High
1678,488,High
1679,475,High
1680,714,Medium
1681,728,Medium
1682,600,High
1683,582,High
1684,583,High
1685,824,Low
1686,742,Medium
1687,707,Medium
1688,578,High
1689,674,Medium
1690,747,Medium
1691,480,High
1692,497,High
1693,702,Medium
1694,737,Medium
1695,743,Medium
1696,834,Low
1697,739,Medium
1698,675,Medium
1699,708,Medium
1700,691,Medium
1701,813,Low
1702,480,High
1703,561,High
1704,734,Medium
1705,818,Low
1706,473,High
1707,528,High
1708,676,Medium
1709,618,High
1710,701,Medium
1711,686,Medium
1712,667,Medium
1713,540,High
1714,452,High
1715,487,High
1716,547,High
1717,659,Medium
1718,557,High
1719,520,High
1720,501,High
1721,695,Medium
1722,837,Low
1723,650,Medium
1724,627,High
1725,591,High
1726,582,High
1727,558,High
1728,551,High
1729,822,Low
1730,527,High
1731,543,High
1732,684,Medium
1733,531,High
1734,483,High
1735,821,Low
1736,719,Medium
1737,766,Low
1738,792,Low
1739,825,Low
1740,753,Low
1741,499,High
1742,608,High
1743,838,Low
1744,735,Medium
1745,504,High
1746,761,Low
1747,705,Medium
1748,744,Medium
1749,778,Low
1750,686,Medium
1751,465,High
1752,701,Medium
1753,839,Low
1754,605,High
1755,607,High
1756,504,High
1757,625,High
1758,782,Low
1759,511,High
1760,801,Low
1761,456,High
1762,567,High
1763,504,High
1764,838,Low
1765,480,High
1766,652,Medium
1767,848,Low
1768,739,Medium
1769,695,Medium
1770,539,High
1771,508,High
1772,539,High
1773,528,High
1774,643,High
1775,677,Medium
1776,757,Low
1777,795,Low
1778,789,Low
1779,790,Low
1780,843,Low
1781,499,High
1782,574,High
1783,806,Low
1784,829,Low
1785,485,High
1786,551,High
1787,525,High
1788,633,High
1789,591,High
1790,782,Low
1791,666,Medium
1792,549,High
1793,829,Low
1794,769,Low
1795,519,High
1796,578,High
1797,543,High
1798,454,High
1799,668,Medium
1800,659,Medium
1801,698,Medium
1802,678,Medium
1803,500,High
1804,640,High
1805,838,Low
1806,507,High
1807,708,Medium
1808,622,High
1809,551,High
1810,783,Low
1811,726,Medium
1812,779,Low
1813,808,Low
1814,596,High
1815,839,Low
1816,586,High
1817,724,Medium
1818,614,High
1819,579,High
1820,574,High
1821,462,High
1822,546,High
1823,753,Low
1824,681,Medium
1825,502,High
1826,832,Low
1827,776,Low
1828,711,Medium
1829,512,High
1830,781,Low
1831,610,High
1832,718,Medium
1833,578,High
1834,538,High
1835,698,Medium
1836,491,High
1837,839,Low
1838,547,High
1839,515,High
1840,684,Medium
1841,560,High
1842,773,Low
1843,648,High
1844,810,Low
1845,713,Medium
1846,763,Low
1847,486,High
1848,577,High
1849,494,High
1850,722,Medium
1851,587,High
1852,760,Low
1853,727,Medium
1854,660,Medium
1855,671,Medium
1856,646,High
1857,686,Medium
1858,587,High
1859,464,High
1860,802,Low
1861,815,Low
1862,779,Low
1863,514,High
1864,688,Medium
1865,813,Low
1866,529,High
1867,517,High
1868,774,Low
1869,592,High
1870,773,Low
1871,663,Medium
1872,721,Medium
1873,732,Medium
1874,804,Low
1875,645,High
1876,790,Low
1877,700,Medium
1878,720,Medium
1879,830,Low
1880,565,High
1881,626,High
1882,557,High
1883,502,High
1884,616,High
1885,770,Low
1886,813,Low
1887,532,High
1888,569,High
1889,684,Medium
1890,775,Low
1891,521,High
1892,641,High
1893,597,High
1894,648,High
1895,594,High
1896,775,Low
1897,684,Medium
1898,693,Medium
1899,647,High
1900,774,Low
1901,745,Medium
1902,655,Medium
1903,663,Medium
1904,767,Low
1905,766,Low
1906,641,High
1907,680,Medium
1908,731,Medium
1909,471,High
1910,701,Medium
1911,792,Low
1912,775,Low
1913,692,Medium
1914,686,Medium
1915,493,High
1916,737,Medium
1917,624,High
1918,643,High
1919,632,High
1920,624,High
1921,665,Medium
1922,822,Low
1923,835,Low
1924,630,High
1925,477,High
1926,615,High
1927,614,High
1928,723,Medium
1929,533,High
1930,811,Low
1931,597,High
1932,766,Low
1933,504,High
1934,502,High
1935,592,High
