Loan_ID,Customer_ID,Loan_Date,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term,EMI,Loan_Status
642,64,2024-11-11,Education,6423959,9.09,36,194663.8,Active
650,65,2022-09-07,Personal,5282981,11.86,120,49246.19,Active
660,66,2025-05-04,Gold,6950861,11.97,240,32428.66,Active
661,66,2020-11-22,Education,5864716,16.91,24,285684.98,Active
670,67,2021-09-30,Education,1839509,15.69,12,177344.0,Active
680,68,2022-09-06,Gold,5871580,14.6,300,22429.44,Closed
681,68,2022-06-09,Education,6745233,10.64,120,62191.05,Active
690,69,2021-12-20,Business,4420292,16.51,60,85834.7,Active
691,69,2020-03-12,Business,3374823,15.75,180,21701.99,Default
692,69,2020-01-18,Gold,5446955,12.99,36,170958.73,Active
700,70,2025-01-24,Personal,6456582,9.4,300,23545.0,Active
701,70,2022-10-21,Business,3454960,17.17,300,13493.92,Closed
702,70,2025-06-21,Personal,503949,10.8,36,15510.43,Closed
710,71,2021-04-23,Gold,7515279,11.96,36,233725.18,Closed
711,71,2025-06-07,Business,7729289,6.8,24,343953.36,Active
712,71,2021-02-14,Home,7114618,17.07,120,69409.03,Active
720,72,2024-12-23,Personal,2144816,10.23,36,65673.07,Closed
721,72,2024-11-23,Education,6588076,15.53,60,126853.4,Closed
722,72,2025-03-18,Education,7234392,10.7,36,222457.55,Active
730,73,2022-01-14,Home,5218966,10.73,36,160526.7,Active
731,73,2025-01-03,Auto,1507406,12.1,24,70408.42,Closed
732,73,2024-10-21,Personal,4554655,9.85,12,416940.71,Closed
740,74,2023-06-16,Business,3976513,17.77,60,78052.32,Active
741,74,2024-11-21,Education,5369143,7.6,240,24071.66,Closed
750,75,2023-01-01,Education,625857,10.37,12,57563.2,Active
760,76,2023-11-21,Education,7812834,7.33,12,698792.89,Active
761,76,2022-09-29,Gold,6033944,12.14,24,281936.03,Active
762,76,2021-06-11,Education,7301626,8.02,180,43817.87,Active
770,77,2025-03-17,Personal,3389753,16.53,120,32917.33,Closed
771,77,2024-06-19,Home,3091592,13.91,12,293469.37,Active
780,78,2024-02-09,Business,2178729,8.36,12,196739.23,Closed
790,79,2024-01-01,Home,7245054,12.93,36,227273.32,Active
791,79,2024-01-16,Home,3411964,11.86,300,12722.08,Closed
792,79,2023-10-13,Gold,7369003,11.3,180,45565.0,Active
800,80,2022-07-29,Auto,7428160,14.36,300,28316.15,Closed
810,81,2023-03-18,Personal,2615181,13.58,36,82508.96,Active
811,81,2023-12-10,Business,2969908,16.57,12,288501.81,Active
812,81,2021-06-15,Auto,4702677,9.78,24,215108.28,Closed
820,82,2023-10-09,Gold,1835935,17.33,240,8975.43,Closed
821,82,2021-01-06,Education,2334729,13.57,300,8838.51,Active
830,83,2021-01-17,Education,7089679,7.21,12,633403.74,Active
840,84,2023-08-13,Education,6713183,12.82,24,315575.54,Active
841,84,2024-12-21,Gold,7263233,9.26,120,66131.74,Active
842,84,2021-12-28,Auto,6858556,7.1,60,122425.22,Default
850,85,2020-07-27,Home,3806175,16.06,12,368120.56,Default
851,85,2024-11-02,Gold,5252710,17.18,12,512927.13,Active
860,86,2025-02-17,Auto,5387372,13.54,300,20389.41,Closed
861,86,2024-04-26,Auto,5026198,16.55,300,19526.78,Closed
870,87,2022-03-31,Business,6087717,7.93,12,547539.41,Active
880,88,2021-02-19,Education,5613728,9.86,300,20557.47,Active
890,89,2021-05-04,Personal,2359994,15.2,36,75519.81,Closed
891,89,2022-10-17,Personal,2876911,6.61,120,25558.96,Closed
892,89,2025-02-02,Education,3102513,9.99,120,28437.12,Closed
900,90,2024-05-17,Business,1100952,14.12,120,10470.05,Active
910,91,2020-01-09,Auto,5471629,16.32,12,530383.24,Active
920,92,2022-11-25,Business,2755440,11.31,120,25559.0,Closed
930,93,2023-03-13,Auto,7471985,11.23,300,27703.63,Active
931,93,2025-06-15,Home,7541259,14.1,240,35852.4,Active
940,94,2020-01-27,Business,1852672,17.13,24,90418.11,Active
941,94,2020-07-25,Business,3002261,7.65,120,26932.78,Active
942,94,2020-11-18,Home,5594065,17.6,24,274109.18,Default
950,95,2024-11-27,Business,901512,15.36,36,28888.45,Active
960,96,2022-06-13,Business,5091584,13.78,120,48276.7,Closed
961,96,2024-05-25,Education,2165485,10.51,36,66474.37,Default
970,97,2024-08-13,Home,7382303,8.71,300,26751.01,Active
980,98,2024-03-13,Education,3316842,15.63,300,12784.21,Closed
981,98,2021-05-09,Gold,6154670,10.25,180,37697.35,Active
990,99,2023-05-19,Personal,2134958,9.33,36,64837.49,Active
991,99,2024-02-26,Auto,5578394,9.62,180,33972.42,Active
992,99,2025-04-26,Education,3395344,6.81,180,20147.59,Active
1000,100,2023-08-13,Home,7361367,9.98,24,337334.64,Active
1001,100,2020-01-14,Gold,1816921,7.35,300,6501.55,Closed
1010,101,2023-08-31,Personal,1978812,7.01,300,7058.42,Active
1020,102,2021-12-31,Personal,6216385,17.01,180,40409.96,Active
1021,102,2022-01-23,Personal,6373663,8.53,240,28822.24,Active
1022,102,2020-05-14,Business,6008985,15.6,60,115773.11,Closed
1030,103,2023-10-08,Business,2326576,11.41,60,43200.64,Active
1031,103,2023-03-24,Gold,3810619,6.53,120,33828.77,Closed
1032,103,2024-10-08,Home,2713758,7.23,24,121248.45,Default
1040,104,2021-02-17,Auto,6888450,14.56,120,65761.74,Closed
1041,104,2022-11-15,Personal,3309329,17.52,24,162046.81,Closed
1042,104,2024-01-10,Personal,2998460,8.69,60,54317.1,Active
1050,105,2024-03-25,Business,6287720,12.86,12,591360.07,Active
1051,105,2020-10-25,Gold,1868967,10.61,240,8613.6,Active
1052,105,2024-02-12,Personal,2461477,9.91,24,112725.39,Closed
1060,106,2020-11-19,Business,4360727,12.07,240,20362.78,Active
1061,106,2023-06-13,Education,2404486,7.43,12,215261.61,Closed
1062,106,2021-06-16,Auto,6939138,9.99,180,42401.99,Closed
1070,107,2022-11-26,Home,654867,8.74,36,19780.62,Active
1071,107,2020-07-09,Home,570948,15.13,24,27388.85,Active
1072,107,2021-10-28,Auto,3254714,16.51,300,12640.22,Default
1080,108,2023-02-22,Business,5511592,16.78,60,107273.95,Active
1081,108,2023-12-22,Home,1869769,6.87,240,8325.93,Active
1090,109,2021-03-17,Auto,6932780,14.78,24,331560.2,Active
1091,109,2023-08-31,Education,167078,8.06,12,15045.37,Closed
1092,109,2023-01-17,Auto,855102,7.91,12,76895.05,Closed
1100,110,2024-09-02,Education,2288850,12.65,120,21486.58,Active
1110,111,2022-08-28,Home,3387558,16.14,180,21857.28,Active
1120,112,2022-12-01,Home,7926952,12.46,240,37144.38,Active
1121,112,2024-01-23,Personal,782098,12.73,120,7347.16,Active
1122,112,2021-04-14,Home,1629195,17.23,240,7957.94,Active
1130,113,2022-03-03,Gold,4275583,9.38,120,38971.94,Active
1131,113,2022-08-30,Personal,5406990,17.89,24,265595.85,Active
1132,113,2023-11-13,Gold,3588713,14.24,180,22776.37,Closed
1140,114,2023-08-13,Home,5874212,12.72,12,551784.31,Active
1141,114,2022-01-22,Education,2910613,6.75,240,12946.16,Active
1142,114,2023-03-04,Education,4019395,10.72,24,185428.09,Active
1150,115,2021-06-04,Gold,3335683,13.27,120,31486.07,Active
1151,115,2020-12-17,Education,3465168,7.63,24,155398.35,Active
1152,115,2023-04-18,Auto,3879631,10.74,12,358025.28,Active
1160,116,2025-06-08,Gold,2719653,17.84,12,267069.92,Active
1161,116,2022-12-31,Education,679158,13.56,120,6427.1,Closed
1162,116,2020-10-15,Auto,5731478,17.1,300,22371.87,Active
1170,117,2021-10-08,Auto,1187344,16.9,300,4626.68,Active
1180,118,2024-11-27,Business,7862645,10.36,36,241033.75,Active
1181,118,2021-02-27,Education,4005088,8.41,300,14473.05,Active
1182,118,2022-03-17,Business,1715978,7.61,120,15388.03,Closed
1190,119,2025-03-18,Business,7914992,9.61,24,361484.28,Active
1200,120,2021-12-31,Personal,6530496,11.41,180,40420.14,Closed
1201,120,2021-12-10,Auto,3248244,13.07,60,61213.16,Active
1202,120,2021-04-16,Personal,3690921,11.45,60,68558.86,Active
1210,121,2020-06-22,Business,2074817,13.49,60,39245.16,Active
1220,122,2024-08-12,Home,3187939,9.82,300,11669.98,Active
1221,122,2020-04-23,Personal,1955517,17.11,36,63614.05,Default
1230,123,2020-02-04,Home,7751330,7.75,12,696004.84,Active
1240,124,2024-04-15,Education,4288494,17.17,180,27915.71,Closed
1241,124,2020-05-26,Business,3644832,14.14,180,23112.28,Closed
1242,124,2021-05-02,Gold,4974567,10.39,60,91523.74,Default
1250,125,2021-11-15,Gold,3789220,13.68,36,119655.15,Closed
1260,126,2023-08-09,Personal,1354741,18.0,240,6660.81,Active
1261,126,2023-07-01,Personal,6544492,13.19,60,123461.84,Active
1270,127,2025-04-06,Gold,6038670,13.21,120,56969.82,Closed
1280,128,2023-07-06,Home,5485961,17.29,12,536206.97,Active
1281,128,2020-11-10,Business,7951452,12.0,240,37106.78,Active
1282,128,2023-10-23,Gold,4833530,6.57,12,429257.74,Closed
1290,129,2022-05-18,Personal,4219631,17.28,24,206199.3,Active
1300,130,2023-08-18,Business,7922027,8.1,120,71364.26,Active
1310,131,2021-11-02,Education,908409,16.66,240,4415.62,Active
1311,131,2023-10-21,Auto,6710166,11.37,240,31137.97,Closed
1312,131,2022-09-16,Home,5247024,12.7,300,19711.32,Active
1320,132,2025-05-06,Business,913481,13.7,120,8655.23,Closed
1321,132,2024-12-25,Auto,1875080,8.47,120,16949.16,Closed
1330,133,2022-07-29,Auto,6982612,14.16,12,664279.15,Active
1331,133,2025-01-31,Gold,1000647,11.93,36,31111.78,Closed
1340,134,2023-03-01,Gold,3562750,16.15,36,114948.17,Active
1341,134,2020-09-17,Home,4449521,9.9,36,135833.99,Closed
1350,135,2023-08-05,Gold,6844531,10.17,240,31419.25,Closed
1351,135,2024-06-07,Education,5183358,8.82,120,47004.42,Active
1352,135,2024-11-16,Gold,1851465,9.74,120,16931.65,Active
1360,136,2020-12-02,Auto,5332643,14.41,240,25421.15,Active
1370,137,2021-05-12,Personal,3077841,11.84,60,57370.96,Active
1380,138,2022-07-08,Education,2917977,15.33,36,93480.64,Active
1381,138,2023-12-22,Education,7200460,11.74,36,223494.28,Closed
1390,139,2020-08-05,Auto,111828,8.16,300,403.18,Active
1400,140,2023-07-05,Home,5287712,6.72,36,156751.28,Closed
1401,140,2021-10-05,Gold,4334731,8.75,180,26189.0,Active
1410,141,2022-08-20,Education,5825183,11.02,36,179642.17,Active
1411,141,2021-08-20,Home,3028460,6.59,60,53800.59,Active
1420,142,2020-11-14,Business,2154194,11.6,180,13356.0,Closed
1430,143,2020-06-30,Education,5593233,13.09,180,35141.04,Active
1440,144,2024-05-24,Home,7692121,15.87,240,37136.92,Active
1450,145,2025-02-12,Education,4894116,10.08,60,89790.71,Active
1460,146,2023-08-13,Personal,583358,9.68,36,17772.97,Closed
1461,146,2024-07-19,Business,1419227,10.46,180,8709.32,Closed
1462,146,2020-04-01,Education,2023115,11.28,24,93805.1,Closed
1470,147,2024-08-04,Personal,7860671,14.63,60,150178.12,Active
1471,147,2022-10-29,Home,4592289,16.53,240,22297.48,Active
1480,148,2024-11-27,Personal,4217660,14.41,300,16084.75,Closed
1490,149,2020-05-28,Education,7288640,6.53,120,64704.9,Closed
1491,149,2024-08-16,Education,5936555,10.96,180,36595.56,Active
1500,150,2020-03-29,Auto,4192135,17.46,300,16413.61,Active
1501,150,2023-09-03,Education,3306460,6.93,60,58926.63,Active
1502,150,2022-12-17,Home,2685504,17.33,36,87525.05,Active
1510,151,2022-09-28,Auto,1793592,15.49,24,86309.14,Closed
1511,151,2020-03-25,Home,2826794,7.93,120,25424.66,Active
1520,152,2021-02-23,Home,6360206,17.25,180,41429.68,Default
1530,153,2021-10-17,Home,2698416,7.81,36,80810.06,Active
1531,153,2021-09-05,Education,7328972,6.96,24,326627.85,Active
1540,154,2024-01-08,Education,6665890,8.44,240,30118.71,Active
1541,154,2021-11-27,Home,1166294,13.68,180,7365.79,Active
1542,154,2021-09-16,Business,2983659,9.39,60,54397.08,Closed
1550,155,2021-05-01,Auto,6370235,17.67,180,41643.64,Closed
1551,155,2024-07-14,Business,4820536,16.22,180,31124.59,Closed
1552,155,2022-08-30,Business,1528545,14.76,12,146179.85,Active
1560,156,2021-12-28,Personal,7495296,7.16,120,66932.99,Active
1561,156,2021-03-27,Education,7401062,8.91,180,44780.54,Closed
1562,156,2025-01-08,Education,3307073,10.88,240,15278.68,Default
1570,157,2020-07-12,Personal,4914826,14.8,180,31345.67,Closed
1571,157,2025-04-11,Business,4424462,13.87,300,16793.78,Active
1580,158,2022-12-17,Auto,3715050,12.5,300,13931.44,Closed
1581,158,2021-12-22,Auto,7868472,9.13,240,35778.6,Closed
1590,159,2021-06-09,Gold,7864713,11.15,180,48564.6,Active
1591,159,2023-05-11,Education,4056613,10.7,24,187111.27,Active
1600,160,2024-07-22,Business,7515192,8.97,120,68244.21,Active
1601,160,2023-02-17,Gold,2418326,14.77,24,115646.36,Closed
1610,161,2020-06-01,Personal,3268580,14.6,60,62429.88,Closed
1620,162,2023-12-12,Personal,5854538,14.24,180,37156.8,Closed
1621,162,2024-04-27,Home,1135514,13.4,180,7153.74,Closed
1630,163,2024-05-21,Education,1742689,15.07,300,6684.37,Active
1640,164,2022-04-18,Personal,6152716,9.96,24,281896.94,Active
1650,165,2021-12-14,Personal,1372155,12.24,24,64171.12,Active
1651,165,2020-07-02,Personal,3308457,16.37,180,21389.17,Active
1660,166,2021-02-13,Auto,2324364,12.49,12,217889.76,Active
1670,167,2025-06-06,Education,4709123,10.53,120,43374.95,Active
1671,167,2023-11-06,Auto,4810849,12.95,12,452821.16,Active
1672,167,2025-01-13,Business,3208246,9.46,60,58529.1,Closed
1680,168,2021-01-23,Business,893280,14.16,24,42490.35,Closed
1690,169,2022-05-08,Gold,2235832,17.76,36,73136.55,Closed
1691,169,2020-11-29,Business,5591675,16.2,180,36097.37,Closed
1700,170,2022-12-11,Auto,4838281,8.37,240,21846.85,Active
1701,170,2021-12-15,Gold,5212742,13.06,180,32741.81,Default
1710,171,2020-01-11,Gold,3955794,11.71,300,14730.06,Closed
1711,171,2022-09-24,Education,6762161,10.28,60,124288.52,Active
1712,171,2021-10-25,Home,2704827,15.52,12,260384.68,Closed
1720,172,2020-07-09,Personal,6542358,14.59,120,62474.07,Closed
1721,172,2021-12-23,Business,7873483,13.45,24,372186.1,Active
1730,173,2025-02-17,Education,4661148,15.45,24,224220.64,Active
1731,173,2020-04-01,Education,5784787,12.94,180,36296.32,Active
1732,173,2025-03-01,Education,963192,7.19,180,5735.81,Closed
1740,174,2025-02-13,Education,7828458,11.2,60,145087.42,Closed
1741,174,2024-06-10,Home,7707906,7.77,36,230744.73,Closed
1750,175,2020-09-14,Personal,2187587,13.48,12,206872.81,Closed
1751,175,2025-06-17,Gold,2908867,6.73,180,17247.97,Active
1760,176,2020-03-06,Education,3257246,12.26,36,101571.79,Active
1761,176,2025-05-01,Education,6758863,8.01,300,24334.16,Active
1770,177,2021-08-31,Business,773168,14.24,60,14721.12,Active
1771,177,2022-06-16,Gold,2131960,9.65,120,19480.78,Active
1772,177,2020-11-16,Personal,489489,16.91,120,4768.85,Active
1780,178,2025-02-27,Business,6477489,14.84,12,619895.7,Default
1790,179,2023-06-18,Auto,7010282,15.27,180,44893.07,Closed
1791,179,2025-04-16,Gold,2086622,7.1,24,93115.51,Active
1792,179,2025-04-04,Personal,3030555,11.65,24,140983.94,Active
1800,180,2021-06-30,Home,1387084,10.44,300,5106.32,Active
1801,180,2023-10-14,Home,1981560,16.16,36,63938.34,Closed
1802,180,2024-12-23,Auto,1460183,17.01,60,28476.0,Active
1810,181,2023-05-28,Auto,407497,17.49,12,39897.35,Active
1820,182,2022-11-10,Auto,7986146,6.92,60,142313.12,Closed
1821,182,2022-08-01,Home,5510667,9.52,60,100588.04,Default
1830,183,2021-09-21,Personal,6292527,17.25,12,614832.33,Default
1831,183,2024-09-09,Gold,4238003,7.23,60,75740.18,Active
1832,183,2020-10-24,Education,5887414,13.64,24,278769.05,Closed
1840,184,2022-10-28,Home,3439545,12.77,36,107743.75,Active
1841,184,2021-05-16,Personal,4436543,6.75,180,26311.16,Active
1842,184,2022-02-25,Personal,2388131,9.99,12,218892.11,Active
1850,185,2020-12-20,Gold,789306,6.84,180,4684.97,Active
1851,185,2024-02-15,Business,5278291,13.42,120,49888.65,Closed
1860,186,2024-03-24,Education,5668835,8.69,300,20538.19,Active
1870,187,2023-02-24,Business,6800579,16.73,36,220508.77,Default
1880,188,2025-02-07,Business,5283654,13.25,180,33242.99,Closed
1890,189,2024-05-18,Gold,7283332,7.76,36,218014.4,Active
1900,190,2022-03-23,Business,4079705,6.76,36,120985.92,Active
1910,191,2020-08-12,Business,1321045,13.4,36,41612.92,Active
1911,191,2020-02-02,Gold,6961835,11.87,180,43267.8,Active
1912,191,2021-09-05,Business,7313200,7.02,180,43481.04,Active
1920,192,2024-02-16,Gold,3565091,14.42,180,22662.1,Closed
1921,192,2023-04-15,Auto,2889012,8.56,12,261359.29,Active
1922,192,2022-11-15,Gold,5885805,6.82,12,523934.74,Active
1930,193,2023-05-01,Gold,7334311,16.5,240,35601.97,Closed
1940,194,2021-01-22,Education,6308227,16.85,180,40950.91,Active
1950,195,2020-07-15,Auto,7162305,10.81,60,132275.84,Active
1951,195,2021-06-15,Education,6727634,12.85,24,316338.96,Closed
1952,195,2022-12-23,Education,1177797,7.97,12,105972.29,Active
1960,196,2020-07-25,Personal,5807241,17.97,36,190300.06,Active
1970,197,2020-03-29,Business,7338577,10.17,300,26949.7,Active
1980,198,2024-11-07,Auto,4740850,15.94,240,22902.26,Closed
1981,198,2023-07-03,Personal,7396901,7.89,12,665043.04,Closed
1982,198,2020-07-09,Gold,1178417,12.29,120,11027.04,Active
1990,199,2021-09-17,Business,4171176,15.73,240,20113.76,Closed
2000,200,2020-09-25,Personal,4133162,11.72,240,19239.87,Closed
2001,200,2021-12-24,Gold,6356156,15.84,24,306790.46,Active
2010,201,2023-03-24,Home,4767197,8.23,300,17198.46,Closed
2011,201,2021-03-20,Home,2549163,14.08,300,9693.62,Closed
2020,202,2023-01-19,Business,451227,15.99,60,8722.97,Default
2021,202,2023-11-16,Education,330738,12.67,36,10351.18,Active
2030,203,2024-05-05,Business,1702820,16.37,180,11008.73,Active
2031,203,2023-02-24,Home,1853904,13.76,300,7030.0,Closed
2032,203,2024-06-28,Education,1533117,13.6,36,48378.36,Active
2040,204,2020-06-23,Business,1140667,14.29,240,5431.95,Active
2050,205,2025-03-15,Auto,2604851,17.86,300,10233.59,Active
2060,206,2023-04-10,Home,3286320,15.27,12,315678.42,Active
2061,206,2022-09-30,Auto,7403969,11.29,240,34332.82,Active
2070,207,2021-01-20,Home,808328,17.87,12,79398.02,Active
2080,208,2021-06-04,Business,7258486,13.67,24,343780.04,Active
2090,209,2025-05-14,Home,5747552,15.92,36,185071.17,Active
2100,210,2021-02-26,Auto,5645858,11.76,36,175272.53,Closed
2110,211,2022-09-04,Business,830148,8.0,24,37356.66,Active
2111,211,2024-05-23,Gold,188639,9.5,36,5737.77,Active
2112,211,2021-09-27,Gold,2384773,9.21,120,21703.42,Active
2120,212,2023-06-01,Auto,904021,11.34,60,16775.62,Active
2121,212,2023-11-10,Gold,1082068,11.3,180,6690.79,Active
2122,212,2020-10-05,Gold,6236585,7.78,300,22405.97,Active
2130,213,2020-11-13,Auto,2146889,16.78,60,41785.62,Active
2131,213,2025-02-18,Home,1995008,11.34,120,18510.35,Closed
2140,214,2025-04-29,Education,3009688,10.98,24,139172.99,Closed
2141,214,2023-11-07,Personal,3781093,13.5,60,71525.68,Closed
